event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
2020-01-01 05:17:34 UTC,view,5746848,2193074740686488401,furniture.bathroom.bath,irisk,54.76,593687917,c1808b88-78c8-48c3-8c0c-fb8056a9e08c
2020-01-01 05:18:11 UTC,view,5746846,2193074740686488401,furniture.bathroom.bath,irisk,52.7,593687917,c1808b88-78c8-48c3-8c0c-fb8056a9e08c
2020-01-01 05:20:17 UTC,view,5856184,2193074740686488401,furniture.bathroom.bath,runail,46.43,593687917,c1808b88-78c8-48c3-8c0c-fb8056a9e08c
2020-01-01 05:22:47 UTC,view,5877529,2193074740686488401,furniture.bathroom.bath,jessnail,126.83,593687917,c1808b88-78c8-48c3-8c0c-fb8056a9e08c
2020-01-01 05:27:02 UTC,view,5885593,1487580006350586771,appliances.environment.vacuum,polarus,59.52,460511653,5c40dd22-7483-4ec6-b69d-2e5a084d9e80
2020-01-01 05:33:44 UTC,view,5732026,1487580011970953351,furniture.bathroom.bath,domix,4.16,580012101,47d810ef-ab02-42fe-8af5-c014624c1268
2020-01-01 05:46:41 UTC,view,5854573,1487580006350586771,appliances.environment.vacuum,jessnail,46.83,594996124,4601989e-34bd-453b-abf4-931d387a580e
2020-01-01 05:48:37 UTC,view,5395,1487580006350586771,appliances.environment.vacuum,runail,30.95,588440825,1c2263d3-fc6e-4f3c-a230-b5dac84ac077
2020-01-01 05:50:21 UTC,view,5854573,1487580006350586771,appliances.environment.vacuum,jessnail,46.83,588440825,1c2263d3-fc6e-4f3c-a230-b5dac84ac077
2020-01-01 05:51:24 UTC,view,5884579,1487580006350586771,appliances.environment.vacuum,max,63.33,588440825,1c2263d3-fc6e-4f3c-a230-b5dac84ac077
2020-01-01 05:56:27 UTC,view,5766980,1487580013053083824,stationery.cartrige,italwax,1.98,579711299,abf9383a-97c9-4142-a6ec-cee337651b91
2020-01-01 06:26:21 UTC,view,5743974,1487580013053083824,stationery.cartrige,italwax,1.98,595130350,2769ea1d-86b8-4096-a65d-94b164052c51
2020-01-01 06:26:46 UTC,view,5809118,1487580008070251489,appliances.personal.hair_cutter,jaguar,89.16,541314277,744a5c5d-bdb5-4f5d-9811-531ca56189b3
